name,isFoil,Qtty,Bought_price,Current_price,Bought_date
"Uro, Titan of Nature's Wrath (Extended Art)",False,2,49.98,45.99,2020-03-23
Brazen Borrower,True,1,19.99,17.75,2020-03-23
"Uro, Titan of Nature's Wrath (Extended Art)",True,1,132.0,122.0,2020-03-24
Leyline of the Void,True,1,11.99,11.99,2020-03-26
Nyxbloom Ancient,False,1,10.73,9.88,2020-03-26
Hydroid Krasis,True,1,25.14,25.14,2020-03-27
Spawn of Mayhem,True,1,9.08,9.08,2020-03-27
"Vraska, Golgari Queen",True,1,10.67,10.67,2020-03-27
"Kroxa, Titan of Death's Hunger (Extended Art)",True,1,73.34,73.34,2020-03-27
Questing Beast,True,1,10.5,10.5,2020-03-27
