name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Nyxbloom Ancient (Extended Art),True,1,63.49,63.49,2020-03-27
"Kaya, Orzhov Usurper",True,1,8.75,8.75,2020-03-29
"Ajani, Strength of the Pride",True,1,14.5,14.43,2020-03-29
Cavalier of Night,True,1,7.19,6.95,2020-03-29
Cavalier of Thorns,True,1,10.0,9.99,2020-03-29
"Chandra, Awakened Inferno",True,1,20.88,20.43,2020-03-29
Field of the Dead,True,1,10.49,10.49,2020-03-29
"Yarok, the Desecrated",True,1,16.37,16.37,2020-03-29
"Chandra, Awakened Inferno",False,1,8.38,5.64,2020-03-29
Watery Grave,True,1,15.93,15.93,2020-03-29
"Thassa, Deep-Dwelling (Showcase)",False,1,10.5,9.9,2020-03-29
"Mu Yanling, Sky Dancer",True,1,7.39,5.4,2020-03-31
Setessan Champion (Extended Art),True,1,8.42,8.35,2020-03-31
Divine Visitation,False,1,9.61,9.61,2020-04-01
Heliod's Intervention (Extended Art),True,1,12.56,12.56,2020-04-01
Idyllic Tutor (Extended Art),True,1,17.27,17.27,2020-04-01
"Kroxa, Titan of Death's Hunger (Extended Art)",True,1,87.99,87.99,2020-04-01
Temple Garden,False,1,8.0,8.0,2020-04-02
"Liliana, Dreadhorde General",False,1,10.99,10.99,2020-04-02
Dryad of the Ilysian Grove (Extended Art),True,1,38.0,38.0,2020-04-02
"Heliod, Sun-Crowned",True,1,11.2,11.2,2020-04-02
Nyxbloom Ancient,False,1,9.9,9.9,2020-04-02
