name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Nyxbloom Ancient (Extended Art),True,1,63.49,63.49,2020-03-27
"Kaya, Orzhov Usurper",True,1,8.75,8.75,2020-03-29
"Ajani, Strength of the Pride",True,1,14.5,14.43,2020-03-29
Cavalier of Night,True,1,7.19,6.99,2020-03-29
Cavalier of Thorns,True,1,10.0,9.99,2020-03-29
"Chandra, Awakened Inferno",True,1,20.88,20.88,2020-03-29
Field of the Dead,True,1,10.49,10.3,2020-03-29
"Yarok, the Desecrated",True,1,16.37,16.37,2020-03-29
"Chandra, Awakened Inferno",False,1,8.38,8.35,2020-03-29
Watery Grave,True,1,15.93,15.93,2020-03-29
"Klothys, God of Destiny (Showcase)",True,1,8.2,8.19,2020-03-29
"Thassa, Deep-Dwelling (Showcase)",False,1,10.5,9.65,2020-03-29
"Mu Yanling, Sky Dancer",True,1,7.39,7.39,2020-03-31
"Ashiok, Dream Render",True,1,9.0,9.0,2020-03-31
Setessan Champion (Extended Art),True,1,8.42,8.35,2020-03-31
"Uro, Titan of Nature's Wrath",False,1,30.59,30.16,2020-03-31
Fabled Passage,True,1,14.3,14.29,2020-03-31
Divine Visitation,False,1,9.61,9.61,2020-04-01
Heliod's Intervention (Extended Art),True,1,12.56,12.56,2020-04-01
Idyllic Tutor (Extended Art),True,1,17.27,17.27,2020-04-01
"Kroxa, Titan of Death's Hunger (Extended Art)",True,1,87.99,87.99,2020-04-01
